c_diagnose_1;c_diagnose_Catalog_1;mapped_Catalog;number_of_mappings;number_of_upsamplings;matchable_code
U69.55;ICD10 2022;['ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];23.0;2.0;U69.
I77.80;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];9.0;1.0;I77.8
K65.09;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM'];3.0;1.0;K65.0
N13.20;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM'];3.0;1.0;N13.2
S70.86;ICD10 2021;['ICD10', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];7.0;1.0;S70.8
042.0;ICD-9;['ICD9CM'];1.0;2.0;42
H.17.8;ICD-10 V20;['ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS'];5455.0;5.0;H
ICD10;ICD-10;['ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];2841.0;4.0;I
INER ZWE;ICD-10 V20;['ICD10', 'ICD10GM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];2841.0;7.0;I
K72.18;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];5.0;1.0;K72.1
N13.65;ICD10 2022;['ICD10CM', 'ICD10', 'ICD10GM'];3.0;1.0;N13.6
N99.10;ICD10 2022;['ICD10CM', 'ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];12.0;1.0;N99.1
5-158.23;ICD-10 V20;['ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS'];1574.0;7.0;5
G94.32;ICD10 2022;['ICD10', 'ICD10GM'];2.0;1.0;G94.3
J 35.8;ICD-10 V20;['ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];1092.0;5.0;J
J98.18;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];5.0;1.0;J98.1
K31.18;ICD10 2022;['ICD10GM', 'ICD10CM', 'ICD10'];3.0;1.0;K31.1
K62.59;ICD10 2022;['ICD10CM', 'ICD10', 'ICD10GM'];3.0;1.0;K62.5
K70.48;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];5.0;1.0;K70.4
N13.29;ICD10 2022;['ICD10GM', 'ICD10', 'ICD10CM'];3.0;1.0;N13.2
N13.60;ICD10 2022;['ICD10GM', 'ICD10CM', 'ICD10'];3.0;1.0;N13.6
STRUKTIO;ICD-10 V20;['ICD10CM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];42166.0;7.0;S
042.9;ICD-9;['ICD9CM'];1.0;2.0;42
