c_prozedur_code;c_prozedur_katalog
1-444.7;OPS 2008
1-444.7;OPS 2021
1-444.X;OPS 2005
1-444.X;OPS 2008
1-444.X;OPS 2021
1-444.X;OPS 2022
1-444.X;ops_v21
1-444.Y;OPS 2009
1-446;OPS 2010
1-446;OPS 2011
1-446;OPS 2018
1-447;OPS 2016
1-447;OPS 2017
1-448.0;OPS 2018
1-448.0;OPS 2022
1-448.1;OPS 2016
1-448.1;OPS 2020
1-449.0;OPS 2007
1-449.0;OPS 2015
1-449.1;OPS 2017
1-449.1;OPS 2020
1-449.2;OPS 2016
1-449.X;OPS 2011
1-449.X;OPS 2013
1-449.X;OPS 2016
1-449.X;OPS 2018
1-449.X;OPS 2019
1-460.0;OPS 2011
1-460.1;OPS 2005
1-460.1;OPS 2022
1-460.1;ops_v21
1-460.2;OPS 2012
1-460.2;OPS 2017
1-460.2;OPS 2019
1-460.2;OPS 2021
1-460.4;OPS 2005
1-460.4;OPS 2006
1-460.4;OPS 2008
1-460.4;ops_v20
1-460.5;OPS 2004
1-460.5;OPS 2007
1-461.0;OPS 2008
1-461.0;OPS 2020
1-462.1;ICPM
1-462.1;OPS 2006
1-462.2;OPS 2006
1-462.2;OPS 2009
1-462.2;OPS 2016
1-462.Y;OPS 2009
1-463.0;OPS 2008
1-463.0;OPS 2015
1-463.0;OPS 2020
1-463.1;OPS 2014
1-463.10;OPS 2022
1-463.3;ICPM
1-463.3;OPS 2009
1-463.3;OPS 2022
1-463.4;OPS 2006
1-463.8;OPS 2022
1-464.00;OPS 2021
1-464.01;OPS 2012
1-464.01;OPS 2019
1-464.Y;OPS 2019
1-465.0;OPS 2005
1-465.0;OPS 2016
1-465.0;OPS 2020
1-465.1;OPS 2005
1-465.1;OPS 2013
1-465.1;OPS 2019
1-465.6;OPS 2007
1-465.8;OPS 2006
1-465.90;OPS 2021
1-465.91;OPS 2021
1-465.X;OPS 2004
1-465.X;OPS 2006
1-465.X;OPS 2013
1-465.X;OPS 2015
1-466.X;OPS 2020
1-470.0;OPS 2005
1-470.0;OPS 2013
1-470.2;OPS 2015
1-470.3;OPS 2017
1-470.5;OPS 2013
1-470.5;OPS 2021
1-471.0;OPS 2010
1-471.0;OPS 2021
1-471.1;OPS 2009
1-471.1;OPS 2018
1-471.X;OPS 2009
1-471.X;OPS 2019
1-472.0;OPS 2016
1-472.X;OPS 2004
1-472.X;OPS 2014
1-472.X;OPS 2016
1-472.X;OPS 2022
1-472.Y;OPS 2009
1-473.3;OPS 2008
1-473.3;OPS 2016
1-474.0;OPS 2018
1-474.2;OPS 2013
1-474.2;OPS 2016
1-474.4;OPS 2006
1-474.4;OPS 2011
1-474.5;OPS 2013
1-479;ops_v20
1-480.0;OPS 2021
1-480.4;OPS 2006
1-480.4;OPS 2011
1-480.4;OPS 2020
1-480.5;OPS 2008
1-480.5;OPS 2012
1-480.6;OPS 2012
1-480.6;OPS 2015
1-480.7;OPS 2008
1-480.X;OPS 2008
1-480.X;OPS 2009
1-480.X;OPS 2010
1-481.0;OPS 2008
1-481.0;OPS 2019
1-481.1;OPS 2011
1-481.1;OPS 2013
1-481.3;OPS 2019
1-481.5;OPS 2009
1-481.6;OPS 2009
