;c_diagnose_1;c_diagnose_Catalog_1;mapped_Catalog;number_of_mappings;number_of_upsamplings;matchable_code
26;042.0;ICD-9;['ICD9CM'];1.0;2.0;042
27;H.17.8;ICD-10 V20;['ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS'];5455.0;5.0;H
28;ICD10;ICD-10;['ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];2841.0;4.0;I
29;INER ZWE;ICD-10 V20;['ICD10', 'ICD10GM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];2841.0;7.0;I
30;K72.18;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];5.0;1.0;K72.1
31;N13.65;ICD10 2022;['ICD10CM', 'ICD10', 'ICD10GM'];3.0;1.0;N13.6
32;N99.10;ICD10 2022;['ICD10CM', 'ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];12.0;1.0;N99.1
33;5-158.23;ICD-10 V20;['ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD9CM', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS'];1574.0;7.0;5
34;G94.32;ICD10 2022;['ICD10', 'ICD10GM'];2.0;1.0;G94.3
35;J 35.8;ICD-10 V20;['ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];1092.0;5.0;J
