;c_procedure_1;c_procedure_katalog_1;mapped_katalog;number_of_mappings;number_of_upsamplings;matchable_code
34;1-500.y;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];40.0;3.0;Jan 50
35;1-500.y;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];40.0;3.0;Jan 50
36;1-500.y;OPS 2007;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];40.0;3.0;Jan 50
37;1-519.x;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];52.0;3.0;Jan 51
38;1-519.y;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];52.0;3.0;Jan 51
39;1-540;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];20.0;1.0;Jan 54
40;1-541;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];20.0;1.0;Jan 54
41;1-544;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];20.0;1.0;Jan 54
42;1-545.0;OPS 2007;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;1-545.
43;1-545.0;OPS 2008;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;1-545.
44;1-545.0;OPS 2009;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;1-545.
45;1-545.2;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;1-545.
46;1-545.2;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;1-545.
47;1-545.2;ops_v20;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;1-545.
48;1-558.0;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];34.0;3.0;Jan 55
49;1-558.1;OPS 2009;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];34.0;3.0;Jan 55
50;1-558.2;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];34.0;3.0;Jan 55
51;1-564.2;OPS 2005;['OPS', 'OPS', 'OPS'];3.0;1.0;1-564.
